,Date,Sunrise,Sunset,Daylength
0,01/01/2022,06:51:20 AM,04:49:13 PM,9h 57m 53s
1,01/02/2022,06:51:29 AM,04:50:00 PM,9h 58m 31s
2,01/03/2022,06:51:36 AM,04:50:47 PM,9h 59m 11s
3,01/04/2022,06:51:41 AM,04:51:36 PM,9h 59m 55s
4,01/05/2022,06:51:44 AM,04:52:25 PM,10h 0m 41s
5,01/06/2022,06:51:46 AM,04:53:16 PM,10h 1m 30s
6,01/07/2022,06:51:45 AM,04:54:07 PM,10h 2m 22s
7,01/08/2022,06:51:43 AM,04:54:59 PM,10h 3m 16s
8,01/09/2022,06:51:39 AM,04:55:52 PM,10h 4m 13s
9,01/10/2022,06:51:33 AM,04:56:45 PM,10h 5m 12s
10,01/11/2022,06:51:25 AM,04:57:39 PM,10h 6m 14s
11,01/12/2022,06:51:16 AM,04:58:34 PM,10h 7m 18s
12,01/13/2022,06:51:04 AM,04:59:29 PM,10h 8m 25s
13,01/14/2022,06:50:51 AM,05:00:25 PM,10h 9m 34s
14,01/15/2022,06:50:36 AM,05:01:21 PM,10h 10m 45s
15,01/16/2022,06:50:19 AM,05:02:18 PM,10h 11m 59s
16,01/17/2022,06:50:00 AM,05:03:15 PM,10h 13m 15s
17,01/18/2022,06:49:39 AM,05:04:13 PM,10h 14m 34s
18,01/19/2022,06:49:17 AM,05:05:11 PM,10h 15m 54s
19,01/20/2022,06:48:53 AM,05:06:09 PM,10h 17m 16s
20,01/21/2022,06:48:27 AM,05:07:07 PM,10h 18m 40s
21,01/22/2022,06:47:59 AM,05:08:05 PM,10h 20m 6s
22,01/23/2022,06:47:30 AM,05:09:04 PM,10h 21m 34s
23,01/24/2022,06:46:59 AM,05:10:03 PM,10h 23m 4s
24,01/25/2022,06:46:26 AM,05:11:02 PM,10h 24m 36s
25,01/26/2022,06:45:52 AM,05:12:01 PM,10h 26m 9s
26,01/27/2022,06:45:16 AM,05:12:59 PM,10h 27m 43s
27,01/28/2022,06:44:38 AM,05:13:58 PM,10h 29m 20s
28,01/29/2022,06:43:59 AM,05:14:57 PM,10h 30m 58s
29,01/30/2022,06:43:18 AM,05:15:56 PM,10h 32m 38s
30,01/31/2022,06:42:36 AM,05:16:55 PM,10h 34m 19s
31,02/01/2022,06:41:52 AM,05:17:53 PM,10h 36m 1s
32,02/02/2022,06:41:06 AM,05:18:52 PM,10h 37m 46s
33,02/03/2022,06:40:20 AM,05:19:50 PM,10h 39m 30s
34,02/04/2022,06:39:31 AM,05:20:48 PM,10h 41m 17s
35,02/05/2022,06:38:42 AM,05:21:46 PM,10h 43m 4s
36,02/06/2022,06:37:51 AM,05:22:44 PM,10h 44m 53s
37,02/07/2022,06:36:58 AM,05:23:41 PM,10h 46m 43s
38,02/08/2022,06:36:05 AM,05:24:38 PM,10h 48m 33s
39,02/09/2022,06:35:10 AM,05:25:35 PM,10h 50m 25s
40,02/10/2022,06:34:13 AM,05:26:32 PM,10h 52m 19s
41,02/11/2022,06:33:16 AM,05:27:28 PM,10h 54m 12s
42,02/12/2022,06:32:17 AM,05:28:24 PM,10h 56m 7s
43,02/13/2022,06:31:17 AM,05:29:20 PM,10h 58m 3s
44,02/14/2022,06:30:16 AM,05:30:15 PM,10h 59m 59s
45,02/15/2022,06:29:14 AM,05:31:10 PM,11h 1m 56s
46,02/16/2022,06:28:11 AM,05:32:05 PM,11h 3m 54s
47,02/17/2022,06:27:07 AM,05:32:59 PM,11h 5m 52s
48,02/18/2022,06:26:02 AM,05:33:53 PM,11h 7m 51s
49,02/19/2022,06:24:56 AM,05:34:47 PM,11h 9m 51s
50,02/20/2022,06:23:49 AM,05:35:40 PM,11h 11m 51s
51,02/21/2022,06:22:40 AM,05:36:33 PM,11h 13m 53s
52,02/22/2022,06:21:32 AM,05:37:26 PM,11h 15m 54s
53,02/23/2022,06:20:22 AM,05:38:18 PM,11h 17m 56s
54,02/24/2022,06:19:11 AM,05:39:10 PM,11h 19m 59s
55,02/25/2022,06:18:00 AM,05:40:02 PM,11h 22m 2s
56,02/26/2022,06:16:47 AM,05:40:53 PM,11h 24m 6s
57,02/27/2022,06:15:34 AM,05:41:44 PM,11h 26m 10s
58,02/28/2022,06:14:21 AM,05:42:34 PM,11h 28m 13s
59,03/01/2022,06:13:07 AM,05:43:25 PM,11h 30m 18s
60,03/02/2022,06:11:52 AM,05:44:15 PM,11h 32m 23s
61,03/03/2022,06:10:36 AM,05:45:04 PM,11h 34m 28s
62,03/04/2022,06:09:20 AM,05:45:53 PM,11h 36m 33s
63,03/05/2022,06:08:03 AM,05:46:43 PM,11h 38m 40s
64,03/06/2022,06:06:46 AM,05:47:31 PM,11h 40m 45s
65,03/07/2022,06:05:28 AM,05:48:20 PM,11h 42m 52s
66,03/08/2022,06:04:10 AM,05:49:08 PM,11h 44m 58s
67,03/09/2022,06:02:51 AM,05:49:56 PM,11h 47m 5s
68,03/10/2022,06:01:32 AM,05:50:43 PM,11h 49m 11s
69,03/11/2022,06:00:13 AM,05:51:31 PM,11h 51m 18s
70,03/12/2022,05:58:53 AM,05:52:18 PM,11h 53m 25s
71,03/13/2022,06:57:37 AM,06:53:03 PM,11h 55m 26s
72,03/14/2022,06:56:16 AM,06:53:50 PM,11h 57m 34s
73,03/15/2022,06:54:56 AM,06:54:36 PM,11h 59m 40s
74,03/16/2022,06:53:35 AM,06:55:23 PM,12h 1m 48s
75,03/17/2022,06:52:14 AM,06:56:09 PM,12h 3m 55s
76,03/18/2022,06:50:53 AM,06:56:55 PM,12h 6m 2s
77,03/19/2022,06:49:32 AM,06:57:41 PM,12h 8m 9s
78,03/20/2022,06:48:10 AM,06:58:27 PM,12h 10m 17s
79,03/21/2022,06:46:49 AM,06:59:12 PM,12h 12m 23s
80,03/22/2022,06:45:28 AM,06:59:58 PM,12h 14m 30s
81,03/23/2022,06:44:06 AM,07:00:43 PM,12h 16m 37s
82,03/24/2022,06:42:45 AM,07:01:28 PM,12h 18m 43s
83,03/25/2022,06:41:23 AM,07:02:14 PM,12h 20m 51s
84,03/26/2022,06:40:02 AM,07:02:59 PM,12h 22m 57s
85,03/27/2022,06:38:41 AM,07:03:44 PM,12h 25m 3s
86,03/28/2022,06:37:19 AM,07:04:29 PM,12h 27m 10s
87,03/29/2022,06:35:58 AM,07:05:14 PM,12h 29m 16s
88,03/30/2022,06:34:38 AM,07:05:59 PM,12h 31m 21s
89,03/31/2022,06:33:17 AM,07:06:44 PM,12h 33m 27s
90,04/01/2022,06:31:57 AM,07:07:29 PM,12h 35m 32s
91,04/02/2022,06:30:37 AM,07:08:14 PM,12h 37m 37s
92,04/03/2022,06:29:17 AM,07:08:58 PM,12h 39m 41s
93,04/04/2022,06:27:57 AM,07:09:43 PM,12h 41m 46s
94,04/05/2022,06:26:38 AM,07:10:28 PM,12h 43m 50s
95,04/06/2022,06:25:20 AM,07:11:13 PM,12h 45m 53s
96,04/07/2022,06:24:01 AM,07:11:58 PM,12h 47m 57s
97,04/08/2022,06:22:43 AM,07:12:43 PM,12h 50m 0s
98,04/09/2022,06:21:26 AM,07:13:29 PM,12h 52m 3s
99,04/10/2022,06:20:09 AM,07:14:14 PM,12h 54m 5s
100,04/11/2022,06:18:53 AM,07:14:59 PM,12h 56m 6s
101,04/12/2022,06:17:37 AM,07:15:44 PM,12h 58m 7s
102,04/13/2022,06:16:22 AM,07:16:30 PM,13h 0m 8s
103,04/14/2022,06:15:07 AM,07:17:15 PM,13h 2m 8s
104,04/15/2022,06:13:53 AM,07:18:01 PM,13h 4m 8s
105,04/16/2022,06:12:40 AM,07:18:46 PM,13h 6m 6s
106,04/17/2022,06:11:28 AM,07:19:32 PM,13h 8m 4s
107,04/18/2022,06:10:16 AM,07:20:18 PM,13h 10m 2s
108,04/19/2022,06:09:05 AM,07:21:03 PM,13h 11m 58s
109,04/20/2022,06:07:54 AM,07:21:49 PM,13h 13m 55s
110,04/21/2022,06:06:45 AM,07:22:35 PM,13h 15m 50s
111,04/22/2022,06:05:36 AM,07:23:21 PM,13h 17m 45s
